geo_id,region,date,income_median_hh
10020,"Abbeville, LA Micro Area",2010-01-01,42693
10100,"Aberdeen, SD Micro Area",2010-01-01,45694
10140,"Aberdeen, WA Micro Area",2010-01-01,41899
10180,"Abilene, TX Metro Area",2010-01-01,42286
10220,"Ada, OK Micro Area",2010-01-01,37484
10260,"Adjuntas, PR Micro Area",2010-01-01,11983
10300,"Adrian, MI Micro Area",2010-01-01,48618
10380,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2010-01-01,13489
10420,"Akron, OH Metro Area",2010-01-01,48570
10460,"Alamogordo, NM Micro Area",2010-01-01,39615
10500,"Albany, GA Metro Area",2010-01-01,36828
10540,"Albany-Lebanon, OR Micro Area",2010-01-01,45832
10580,"Albany-Schenectady-Troy, NY Metro Area",2010-01-01,57781
10620,"Albemarle, NC Micro Area",2010-01-01,44802
10660,"Albert Lea, MN Micro Area",2010-01-01,43090
10700,"Albertville, AL Micro Area",2010-01-01,37661
10740,"Albuquerque, NM Metro Area",2010-01-01,48107
10760,"Alexander City, AL Micro Area",2010-01-01,36488
10780,"Alexandria, LA Metro Area",2010-01-01,40571
10820,"Alexandria, MN Micro Area",2010-01-01,46789
10860,"Alice, TX Micro Area",2010-01-01,37020
10880,"Allegan, MI Micro Area",2010-01-01,50240
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2010-01-01,56908
10940,"Alma, MI Micro Area",2010-01-01,40114
10980,"Alpena, MI Micro Area",2010-01-01,36695
11020,"Altoona, PA Metro Area",2010-01-01,42363
11060,"Altus, OK Micro Area",2010-01-01,41437
11100,"Amarillo, TX Metro Area",2010-01-01,46384
11140,"Americus, GA Micro Area",2010-01-01,32873
11180,"Ames, IA Metro Area",2010-01-01,48248
11220,"Amsterdam, NY Micro Area",2010-01-01,42603
11260,"Anchorage, AK Metro Area",2010-01-01,71769
11300,"Anderson, IN Metro Area",2010-01-01,43256
11340,"Anderson, SC Metro Area",2010-01-01,42871
11380,"Andrews, TX Micro Area",2010-01-01,48699
11420,"Angola, IN Micro Area",2010-01-01,47479
11460,"Ann Arbor, MI Metro Area",2010-01-01,59065
11500,"Anniston-Oxford, AL Metro Area",2010-01-01,38407
11540,"Appleton, WI Metro Area",2010-01-01,57036
11580,"Arcadia, FL Micro Area",2010-01-01,35979
11620,"Ardmore, OK Micro Area",2010-01-01,39172
11660,"Arkadelphia, AR Micro Area",2010-01-01,31968
11700,"Asheville, NC Metro Area",2010-01-01,44059
11740,"Ashland, OH Micro Area",2010-01-01,44542
11780,"Ashtabula, OH Micro Area",2010-01-01,42139
11820,"Astoria, OR Micro Area",2010-01-01,42223
11860,"Atchison, KS Micro Area",2010-01-01,44175
11900,"Athens, OH Micro Area",2010-01-01,31559
11940,"Athens, TN Micro Area",2010-01-01,37146
11980,"Athens, TX Micro Area",2010-01-01,39779
12020,"Athens-Clarke County, GA Metro Area",2010-01-01,40627
